rank,path,pid,tunnel
54,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\84996_103.83897063499347_1.301972606223047_202406_baseheading106.93_viewheading286.93_3.jpg,84996,-0.24516472220420837
55,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\138105_103.77386396715721_1.3406938253982266_202304_baseheading275.87_viewheading185.87_4.jpg,138105,-0.24448595941066742
56,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\110505_103.85488827763942_1.3001930064144154_201807_baseheading139.22_viewheading229.22_2.jpg,110505,-0.24407456815242767
57,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\92961_103.85323031389174_1.321633918188049_202402_baseheading218.16_viewheading38.16_3.jpg,92961,-0.24328315258026123
58,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\159409_103.84975681162372_1.3029377596518277_202212_baseheading187.57_viewheading97.57_4.jpg,159409,-0.24094350636005402
59,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\114957_103.89176207939366_1.3146351961299083_202406_baseheading78.08_viewheading78.08_1.jpg,114957,-0.239515021443367
60,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\66923_103.88407232343725_1.3131267930747417_202203_baseheading78.52_viewheading78.52_1.jpg,66923,-0.2377438247203827
61,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\159421_103.85350478760213_1.3061034541830883_201807_baseheading302.72_viewheading122.72_3.jpg,159421,-0.23757599294185638
62,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\30210_103.87806716827808_1.3138504774483541_202404_baseheading163.55_viewheading163.55_1.jpg,30210,-0.23742619156837463
63,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\139331_103.84348218002626_1.2794307532752793_202406_baseheading86.52_viewheading266.52_3.jpg,139331,-0.23667198419570923
64,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\25263_103.85527675255987_1.3088183541696397_202406_baseheading34.82_viewheading304.82_4.jpg,25263,-0.23641341924667358
65,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\164762_103.89129043335745_1.3393536477345942_202404_baseheading45.07_viewheading315.07_4.jpg,164762,-0.2357099950313568
66,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\70698_103.87910411548432_1.3142548403657677_202406_baseheading164.53_viewheading164.53_1.jpg,70698,-0.23467954993247986
67,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\64941_103.90959299635861_1.3188100393349669_202503_baseheading351.16_viewheading261.16_4.jpg,64941,-0.23374435305595398
68,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\2669_103.83795938150203_1.2766336010628414_202402_baseheading78.52_viewheading78.52_1.jpg,2669,-0.23293903470039368
69,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\147011_103.90851404235552_1.3158226887494324_202503_baseheading258.44_viewheading348.44_2.jpg,147011,-0.22957682609558105
70,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\140701_103.84863872753274_1.30177088491027_202406_baseheading274.80_viewheading184.80_4.jpg,140701,-0.22925935685634613
71,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\55451_103.84980382160082_1.2859506256662045_202110_baseheading242.63_viewheading332.63_2.jpg,55451,-0.2278328686952591
72,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\122981_103.78818092661332_1.3481008039698896_202407_baseheading354.93_viewheading264.93_4.jpg,122981,-0.22670000791549683
73,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\9535_103.85958518248468_1.3135138054799649_202105_baseheading15.41_viewheading105.41_2.jpg,9535,-0.22563289105892181
74,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\31875_103.86129915657581_1.3024443887091173_201807_baseheading137.43_viewheading227.43_2.jpg,31875,-0.22465631365776062
75,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\161201_103.8557931749165_1.3101342917420002_202406_baseheading218.11_viewheading308.11_2.jpg,161201,-0.22355414927005768
76,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\17501_103.88030617172787_1.3121505502659592_202202_baseheading87.87_viewheading357.87_4.jpg,17501,-0.22334444522857666
77,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\5175_103.85339352108662_1.313727266180303_201807_baseheading322.13_viewheading232.13_4.jpg,5175,-0.22101643681526184
78,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\98717_103.87878946534516_1.3140132167365692_201808_baseheading46.50_viewheading136.50_2.jpg,98717,-0.22023096680641174
79,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\50617_103.85011061646952_1.284746355833408_202406_baseheading3.21_viewheading93.21_2.jpg,50617,-0.2168571501970291
80,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\39865_103.84912027084587_1.287692470124558_201807_baseheading11.83_viewheading11.83_1.jpg,39865,-0.21579629182815552
81,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\114958_103.89158532573221_1.3146002241389665_202406_baseheading83.87_viewheading83.87_1.jpg,114958,-0.21431194245815277
82,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\113972_103.84187209218071_1.2803081937267242_202406_baseheading146.43_viewheading326.43_3.jpg,113972,-0.21426522731781006
83,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\72204_103.69161036604818_1.3298683483535483_202007_baseheading90.28_viewheading0.28_4.jpg,72204,-0.21418051421642303
84,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\137746_103.83207731355665_1.2841660946357336_202406_baseheading235.19_viewheading325.19_2.jpg,137746,-0.2137584090232849
85,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\765_103.88206438714899_1.3321872720936525_202204_baseheading256.74_viewheading166.74_4.jpg,765,-0.21284270286560059
86,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\160074_103.84400819148205_1.2742081138292947_202403_baseheading267.58_viewheading357.58_2.jpg,160074,-0.2126176953315735
87,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\6641_103.85243668747526_1.2854037717365077_202406_baseheading253.94_viewheading163.94_4.jpg,6641,-0.21216537058353424
88,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\119571_103.87786461223392_1.3120455858215032_202406_baseheading170.38_viewheading170.38_1.jpg,119571,-0.2113015502691269
89,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\4819_103.83369935955523_1.3057226655970606_202406_baseheading170.00_viewheading260.00_2.jpg,4819,-0.21087828278541565
90,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\32156_103.84330252755812_1.2794443716717625_202406_baseheading89.71_viewheading269.71_3.jpg,32156,-0.20891152322292328
91,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\91947_103.8877170653473_1.3145590524991193_202406_baseheading349.25_viewheading169.25_3.jpg,91947,-0.2081652730703354
92,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\136032_103.89607616907116_1.304506173137747_202301_baseheading342.08_viewheading162.08_3.jpg,136032,-0.20441818237304688
93,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\3578_103.84105483023794_1.2749996563124248_202406_baseheading344.79_viewheading344.79_1.jpg,3578,-0.20419903099536896
94,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\31724_103.87413273794377_1.3114227152753446_202404_baseheading251.66_viewheading341.66_2.jpg,31724,-0.20399895310401917
95,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\131809_103.88362547943593_1.3332051616126972_202403_baseheading79.62_viewheading169.62_2.jpg,131809,-0.20363907516002655
96,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\28085_103.90538823154725_1.3138315537459992_202406_baseheading260.79_viewheading260.79_1.jpg,28085,-0.20356319844722748
97,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\93431_103.90052577826438_1.3149574998950753_202407_baseheading81.37_viewheading171.37_2.jpg,93431,-0.20336173474788666
98,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\9535_103.85958518248468_1.3135138054799649_202105_baseheading15.41_viewheading195.41_3.jpg,9535,-0.20322038233280182
99,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\67266_103.83870601619212_1.2948843150770737_202402_baseheading5.89_viewheading275.89_4.jpg,67266,-0.20306213200092316
100,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\109165_103.89059165414434_1.3144036060286393_202406_baseheading255.77_viewheading255.77_1.jpg,109165,-0.20294640958309174
