rank,path,pid,region_tier,strict_score
30,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\67053_103.86044202293688_1.3118250271755747_202406_baseheading43.52_viewheading223.52_3.jpg,67053,1,0.21595925180665582
31,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\92170_103.8621698901945_1.3088525731432992_202406_baseheading139.98_viewheading229.98_2.jpg,92170,3,0.20222158806100768
32,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\4057_103.85527376678782_1.297495471890916_202403_baseheading307.47_viewheading37.47_2.jpg,4057,3,0.18378408518098807
33,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\132309_103.86017550907268_1.314884713482316_202301_baseheading8.30_viewheading8.30_1.jpg,132309,1,0.14799227017941585
34,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\118881_103.85050786816434_1.2924189891851148_202403_baseheading26.07_viewheading206.07_3.jpg,118881,1,0.2408827577953155
35,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\38135_103.85417257321818_1.3140850804090942_202406_baseheading336.67_viewheading246.67_4.jpg,38135,1,0.18444534189354925
36,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\100390_103.8501373491397_1.3016466561948088_202406_baseheading98.48_viewheading278.48_3.jpg,100390,1,0.11936149748794095
37,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\159677_103.85317677516176_1.302326245868404_202403_baseheading219.71_viewheading309.71_2.jpg,159677,3,0.15767656326947624
38,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\74113_103.86121374120577_1.310478528114908_202301_baseheading138.59_viewheading228.59_2.jpg,74113,1,0.20714579061382513
39,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\69541_103.85695213354967_1.3137423597884463_202406_baseheading38.86_viewheading218.86_3.jpg,69541,1,0.1457461785536406
40,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\69539_103.85717220287414_1.3140277176019797_202406_baseheading38.65_viewheading128.65_2.jpg,69539,1,0.21621092794885363
41,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\22276_103.8497468458013_1.2984185816773064_202402_baseheading313.84_viewheading43.84_2.jpg,22276,1,0.22216861956321532
42,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\22498_103.8510268771238_1.296728194113984_202406_baseheading123.94_viewheading33.94_4.jpg,22498,3,0.16463604555806413
43,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\155309_103.8569022943793_1.3007322942232842_202406_baseheading131.10_viewheading41.10_4.jpg,155309,3,0.15410412855396774
44,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\20932_103.79216559479977_1.3039481537075779_202503_baseheading117.69_viewheading207.69_2.jpg,20932,3,0.11944620657868062
45,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\43564_103.85705024208627_1.3151061744833368_202406_baseheading226.16_viewheading226.16_1.jpg,43564,1,0.22585133416477188
46,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\27740_103.860726202689_1.3028392091932106_202406_baseheading150.59_viewheading60.59_4.jpg,27740,1,0.23456635505025125
47,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\44688_103.85383143243554_1.3238589684710846_202301_baseheading311.73_viewheading41.73_2.jpg,44688,1,0.18265301450895854
48,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\1185_103.84206628570313_1.2942112348682635_202406_baseheading340.77_viewheading250.77_4.jpg,1185,1,0.15772535921742797
49,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\22276_103.8497468458013_1.2984185816773064_202402_baseheading313.84_viewheading133.84_3.jpg,22276,1,0.1618730804623441
50,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\49986_103.85342011788728_1.2994426465919717_202406_baseheading39.41_viewheading219.41_3.jpg,49986,1,0.11832004307827032
51,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\57655_103.85730311879955_1.3148494392944954_202305_baseheading133.66_viewheading43.66_4.jpg,57655,1,0.19202243485036494
52,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\8357_103.85412372810723_1.31419280669384_202406_baseheading155.76_viewheading245.76_2.jpg,8357,1,0.22889944665221792
53,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\117215_103.85463510596496_1.2960940301164454_202406_baseheading128.48_viewheading218.48_2.jpg,117215,1,0.22092146423107478
54,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\160784_103.85078113164857_1.280939104005812_202406_baseheading294.57_viewheading204.57_4.jpg,160784,3,0.19707860075755557
55,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\100023_103.8321181498601_1.3063281383689795_202406_baseheading118.72_viewheading208.72_2.jpg,100023,1,0.16752686211077755
56,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\118883_103.85068850741519_1.2927308049165631_202403_baseheading36.99_viewheading216.99_3.jpg,118883,1,0.2299665618041283
57,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\1186_103.84196309211022_1.2943581592969848_202406_baseheading329.81_viewheading239.81_4.jpg,1186,1,0.11382786860162664
58,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\49985_103.85330397818214_1.2993048914969174_202406_baseheading40.60_viewheading220.60_3.jpg,49985,1,0.15142078095534145
59,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\126637_103.85409947246556_1.2964289900141288_202406_baseheading216.05_viewheading306.05_2.jpg,126637,1,0.24550209207980148
60,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\75317_103.85848167367072_1.3096992284196438_202406_baseheading308.67_viewheading218.67_4.jpg,75317,1,0.15734038201679915
61,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\162960_103.85847912833397_1.3096955340576832_202406_baseheading308.67_viewheading218.67_4.jpg,162960,1,0.15734038201679915
62,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\87752_103.85847422211779_1.3097139306514294_202406_baseheading308.67_viewheading218.67_4.jpg,87752,1,0.15734038201679915
63,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\126637_103.85409947246556_1.2964289900141288_202406_baseheading216.05_viewheading36.05_3.jpg,126637,1,0.15064344495743734
64,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\34800_103.8508063748011_1.2918591334009875_202403_baseheading287.49_viewheading17.49_2.jpg,34800,1,0.15545955638758327
65,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\21529_103.79587268059078_1.3108826932504396_202503_baseheading2.15_viewheading272.15_4.jpg,21529,3,0.18201756146678083
66,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\66723_103.85421531363347_1.2968844878333747_202406_baseheading130.92_viewheading40.92_4.jpg,66723,1,0.20130136621018632
67,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\46052_103.86030493224561_1.303515401488848_202406_baseheading148.55_viewheading58.55_4.jpg,46052,1,0.24927143635135857
68,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\159859_103.8423103256681_1.2734859552236724_202406_baseheading87.70_viewheading357.70_4.jpg,159859,3,0.23246877268478425
69,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\83040_103.85825075556112_1.3099263962291645_202406_baseheading216.22_viewheading216.22_1.jpg,83040,1,0.1750740511759329
70,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\165527_103.84139194009437_1.3012726550941416_202406_baseheading195.05_viewheading105.05_4.jpg,165527,1,0.240675345075934
71,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\165471_103.84139194009437_1.3012726550941416_202406_baseheading195.05_viewheading105.05_4.jpg,165471,1,0.240675345075934
72,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\56502_103.85705024208627_1.3151061744833368_202406_baseheading226.16_viewheading46.16_3.jpg,56502,1,0.1803884453764197
73,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\43564_103.85705024208627_1.3151061744833368_202406_baseheading226.16_viewheading46.16_3.jpg,43564,1,0.1803884453764197
74,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\56496_103.85772409527394_1.3158016797505463_202406_baseheading224.42_viewheading224.42_1.jpg,56496,1,0.21927490004327493
75,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\136649_103.85274138909958_1.3211940689859185_202406_baseheading354.60_viewheading84.60_2.jpg,136649,3,0.23555866439645937
76,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\6779_103.85629928793726_1.2989788864288347_202406_baseheading318.97_viewheading48.97_2.jpg,6779,1,0.21260785416910696
77,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\64966_103.89459814817312_1.3155951776843657_202406_baseheading259.35_viewheading349.35_2.jpg,64966,3,0.151427958396299
78,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\100245_103.85207650856266_1.2994063391169464_202406_baseheading220.78_viewheading220.78_1.jpg,100245,1,0.1253096207060237
79,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\112597_103.85943573742081_1.3121973452909172_202406_baseheading127.80_viewheading37.80_4.jpg,112597,1,0.22209620659684115
80,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\136146_103.86176409205572_1.3110834995495673_202406_baseheading235.74_viewheading55.74_3.jpg,136146,1,0.16697378630820484
81,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\24121_103.85832462957137_1.3017228185182785_202406_baseheading225.69_viewheading45.69_3.jpg,24121,1,0.25136669636958475
82,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\28517_103.85023828594787_1.2973799433509154_202403_baseheading129.39_viewheading219.39_2.jpg,28517,3,0.12904572691465563
83,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\146051_103.90194210335478_1.3166144713990273_202407_baseheading166.45_viewheading256.45_2.jpg,146051,3,0.17342013014912044
84,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\166101_103.85514456748415_1.3012745351950303_202406_baseheading310.62_viewheading40.62_2.jpg,166101,1,0.15361549793430135
85,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\130304_103.85480083196835_1.2967930739524303_202403_baseheading308.46_viewheading38.46_2.jpg,130304,1,0.09612433570530957
86,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\3135_103.85663667766646_1.297766572540485_202403_baseheading138.22_viewheading48.22_4.jpg,3135,1,0.26388472930121376
87,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\13876_103.86603882655348_1.364412209252194_202408_baseheading285.14_viewheading15.14_2.jpg,13876,1,0.1589463724537586
88,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\3129_103.8559047796641_1.2985603790268436_202403_baseheading130.01_viewheading220.01_2.jpg,3129,1,0.22585246009299018
89,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\57654_103.85717668036635_1.314977806813515_202305_baseheading136.19_viewheading46.19_4.jpg,57654,1,0.25767075652233523
90,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\1640_103.85036115599047_1.2821034990065487_202406_baseheading175.51_viewheading85.51_4.jpg,1640,3,0.18163933295876578
91,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\113601_103.85519874404613_1.2956448636988105_202406_baseheading123.56_viewheading213.56_2.jpg,113601,1,0.21955783684355068
92,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\113600_103.85512155259818_1.2955428769771349_202406_baseheading123.56_viewheading213.56_2.jpg,113600,1,0.21955783684355068
93,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\49992_103.85412370771866_1.30026343188015_202406_baseheading219.39_viewheading309.39_2.jpg,49992,3,0.21802351079148188
94,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\18236_103.85639878175556_1.2966096256957609_202406_baseheading29.44_viewheading299.44_4.jpg,18236,3,0.11258072896106813
95,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\14124_103.8536699068339_1.315215164470513_202402_baseheading155.35_viewheading65.35_4.jpg,14124,1,0.1295406907433797
96,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\114425_103.85116191456324_1.3014968041773396_202402_baseheading219.37_viewheading39.37_3.jpg,114425,1,0.21068989184939127
97,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\161115_103.85750731916664_1.3144519045339553_202406_baseheading39.64_viewheading219.64_3.jpg,161115,1,0.2220580185756289
98,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\161091_103.85763139467849_1.3146056761537201_202406_baseheading38.13_viewheading218.13_3.jpg,161091,1,0.16327852935092316
99,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\50480_103.85758977041111_1.3145562730753628_202406_baseheading38.13_viewheading218.13_3.jpg,50480,1,0.16327852935092316
100,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\27741_103.86082109588185_1.302686042031971_202406_baseheading148.58_viewheading58.58_4.jpg,27741,1,0.20914475497982263
