rank,path,pid,view_idx,sim
19,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\143044_103.84808263162482_1.288855811884101_202403_baseheading131.49_viewheading41.49_4.jpg,143044,4,0.95462185
20,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\159937_103.8431681480084_1.2741036033518787_202406_baseheading166.87_viewheading256.87_2.jpg,159937,2,0.9544959
21,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\135311_103.87696055668083_1.3280187195440845_202404_baseheading124.06_viewheading34.06_4.jpg,135311,4,0.9539952
22,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\49209_103.89824692673646_1.3119501789595824_202204_baseheading266.96_viewheading356.96_2.jpg,49209,2,0.9538911
23,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\31595_103.84109897076775_1.301997806427715_202406_baseheading314.51_viewheading44.51_2.jpg,31595,2,0.9538905
24,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\3466_103.84784256735911_1.2825873449187537_202406_baseheading298.92_viewheading208.92_4.jpg,3466,4,0.95384246
25,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\165387_103.75678783342705_1.3390934398083383_202407_baseheading298.82_viewheading28.82_2.jpg,165387,2,0.95377904
26,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\163009_103.85722496225354_1.3090185616316294_202406_baseheading312.24_viewheading42.24_2.jpg,163009,2,0.9537185
27,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\36534_103.85404422382142_1.3109750434126692_202402_baseheading137.52_viewheading227.52_2.jpg,36534,2,0.95356274
28,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\165650_103.84777231468843_1.279419003410227_202403_baseheading116.30_viewheading26.30_4.jpg,165650,4,0.95334035
29,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\20565_103.8522569586289_1.3180243967117409_202402_baseheading133.23_viewheading43.23_4.jpg,20565,4,0.9532075
30,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\72577_103.85555025241572_1.3126985493424457_202402_baseheading326.41_viewheading56.41_2.jpg,72577,2,0.953186
31,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\62986_103.86084128991074_1.3013585737479476_202406_baseheading148.73_viewheading58.73_4.jpg,62986,4,0.95306367
32,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\19418_103.8609960077293_1.3014628723435364_202406_baseheading148.73_viewheading58.73_4.jpg,19418,4,0.95306367
33,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\18234_103.85614965691146_1.2968059334157567_202406_baseheading314.43_viewheading44.43_2.jpg,18234,2,0.9530185
34,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\98947_103.85094582709277_1.3009554984455487_202406_baseheading124.10_viewheading34.10_4.jpg,98947,4,0.95295477
35,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\42683_103.84785651319693_1.2880916861017513_202403_baseheading125.05_viewheading35.05_4.jpg,42683,4,0.95264417
36,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\29038_103.85072820085325_1.3249075252924143_202406_baseheading310.65_viewheading220.65_4.jpg,29038,4,0.9524989
37,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\160027_103.84614292794807_1.2745061596664053_202406_baseheading130.71_viewheading220.71_2.jpg,160027,2,0.95242923
38,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\153679_103.85834942749847_1.3071315287036835_202406_baseheading309.42_viewheading39.42_2.jpg,153679,2,0.9522698
39,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\144517_103.84867025920627_1.2859209940112566_202406_baseheading294.08_viewheading204.08_4.jpg,144517,4,0.9522619
40,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\3463_103.84831516605163_1.2823249815223123_202406_baseheading300.26_viewheading30.26_2.jpg,3463,2,0.952193
41,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\11531_103.84430301574127_1.2926137095523615_202402_baseheading310.65_viewheading40.65_2.jpg,11531,2,0.9521427
42,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\70976_103.8798827562603_1.3171543774911425_202406_baseheading165.34_viewheading255.34_2.jpg,70976,2,0.9521337
43,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\161994_103.83097799816058_1.2939471889120235_202406_baseheading338.86_viewheading248.86_4.jpg,161994,4,0.95212346
44,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\161479_103.83097799816058_1.2939471889120235_202406_baseheading338.86_viewheading248.86_4.jpg,161479,4,0.95212346
45,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\30322_103.84386880024202_1.288924621938412_202406_baseheading306.61_viewheading216.61_4.jpg,30322,4,0.952095
46,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\43312_103.81922423325435_1.4535046508794025_202408_baseheading325.30_viewheading235.30_4.jpg,43312,4,0.95203334
47,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\40401_103.8461265548668_1.2872848319491186_202406_baseheading218.90_viewheading308.90_2.jpg,40401,2,0.95199865
48,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\147527_103.90058840270511_1.3124349610208974_202204_baseheading146.07_viewheading56.07_4.jpg,147527,4,0.95193416
49,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\136643_103.85280397466471_1.3201397441707365_201907_baseheading172.63_viewheading262.63_2.jpg,136643,2,0.9518986
50,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\6511_103.83662077480939_1.3023926804006394_202406_baseheading118.08_viewheading28.08_4.jpg,6511,4,0.9518301
51,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\159332_103.85429119354275_1.3060566209129996_202406_baseheading122.42_viewheading32.42_4.jpg,159332,4,0.95179385
52,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\67733_103.90431962481392_1.302935250031247_202407_baseheading152.79_viewheading242.79_2.jpg,67733,2,0.9516724
53,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\51673_103.87557789933368_1.390686643988784_202503_baseheading271.84_viewheading181.84_4.jpg,51673,4,0.9515903
54,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\85921_103.83344103977655_1.3041718152184245_202406_baseheading117.70_viewheading27.70_4.jpg,85921,4,0.9514763
55,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\29458_103.85705375099846_1.3091791045218988_202406_baseheading313.45_viewheading223.45_4.jpg,29458,4,0.9513665
56,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\158938_103.85420162212858_1.3052210682326484_202403_baseheading129.64_viewheading219.64_2.jpg,158938,2,0.9513425
57,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\89196_103.74949679760313_1.3117015806027033_202407_baseheading334.75_viewheading64.75_2.jpg,89196,2,0.9512052
58,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\163293_103.84243515923649_1.2870754022215543_202406_baseheading24.23_viewheading294.23_4.jpg,163293,4,0.9510204
59,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\158705_103.85314728102863_1.30953142355853_202402_baseheading318.51_viewheading228.51_4.jpg,158705,4,0.9508279
60,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\49989_103.85377152279659_1.299853371083885_202406_baseheading218.97_viewheading128.97_4.jpg,49989,4,0.9508013
61,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\140605_103.84812470131935_1.287113486436693_202403_baseheading210.38_viewheading120.38_4.jpg,140605,4,0.95076054
62,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\58637_103.84874121449558_1.281065809856276_202406_baseheading115.27_viewheading25.27_4.jpg,58637,4,0.9507353
63,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\161975_103.82567674566135_1.2905884252318418_202402_baseheading272.32_viewheading182.32_4.jpg,161975,4,0.9506534
64,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\127414_103.74391381522899_1.392521198877803_202407_baseheading283.66_viewheading13.66_2.jpg,127414,2,0.95062304
65,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\133760_103.89546250762588_1.307331389520743_202407_baseheading338.80_viewheading68.80_2.jpg,133760,2,0.9505995
66,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\80515_103.8325253300575_1.306111549427076_202406_baseheading205.39_viewheading115.39_4.jpg,80515,4,0.9505782
67,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\154790_103.8325253300575_1.306111549427076_202406_baseheading205.39_viewheading115.39_4.jpg,154790,4,0.9505782
68,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\164029_103.74535172225563_1.3766553140347977_202407_baseheading73.44_viewheading343.44_4.jpg,164029,4,0.95043296
69,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\120407_103.84162980442602_1.2997687065256298_202402_baseheading282.11_viewheading12.11_2.jpg,120407,2,0.95042944
70,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\41239_103.85055626805737_1.300196002428398_202406_baseheading309.75_viewheading39.75_2.jpg,41239,2,0.95030004
71,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\163038_103.85679684737985_1.3102942850934927_202406_baseheading313.52_viewheading223.52_4.jpg,163038,4,0.95029926
72,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\96264_103.83775645454705_1.2920093798050574_202402_baseheading304.14_viewheading214.14_4.jpg,96264,4,0.95028144
73,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\62380_103.8288960068155_1.3852380692815198_202408_baseheading139.55_viewheading49.55_4.jpg,62380,4,0.95018935
74,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\28031_103.83808902337537_1.2973244753953685_202402_baseheading218.66_viewheading128.66_4.jpg,28031,4,0.95001096
75,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\41724_103.85408389966278_1.3158116685193764_202402_baseheading332.75_viewheading242.75_4.jpg,41724,4,0.95000404
76,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\19370_103.70697880312919_1.3408709323061758_202405_baseheading12.65_viewheading282.65_4.jpg,19370,4,0.94984454
77,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\105297_103.83807154048502_1.299549149700967_202406_baseheading283.10_viewheading13.10_2.jpg,105297,2,0.949816
78,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\27499_103.89738043990106_1.3153315520121034_202406_baseheading323.80_viewheading233.80_4.jpg,27499,4,0.9498065
79,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\162769_103.84231305693352_1.2869429034483417_202406_baseheading13.18_viewheading283.18_4.jpg,162769,4,0.9497873
80,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\163292_103.84231305693352_1.2869429034483417_202406_baseheading13.18_viewheading283.18_4.jpg,163292,4,0.9497873
81,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\67721_103.84867756481925_1.2985794517376454_202403_baseheading120.02_viewheading210.02_2.jpg,67721,2,0.9497242
82,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\106670_103.84391768926841_1.3264014429533864_202406_baseheading265.47_viewheading175.47_4.jpg,106670,4,0.9496086
83,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\138243_103.84883194226339_1.3260082665943005_202406_baseheading116.24_viewheading26.24_4.jpg,138243,4,0.9496066
84,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\24747_103.90990071291307_1.318542261305854_202503_baseheading259.37_viewheading169.37_4.jpg,24747,4,0.94955224
85,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\3131_103.85616076854423_1.2983078200482412_202403_baseheading137.94_viewheading227.94_2.jpg,3131,2,0.9495236
86,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\41994_103.89865481924191_1.3146470625580247_202008_baseheading144.08_viewheading234.08_2.jpg,41994,2,0.9494908
87,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\163556_103.85868268380875_1.3068430709168815_202406_baseheading311.29_viewheading221.29_4.jpg,163556,4,0.9494627
88,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\45977_103.84776574863585_1.2762824059619593_202406_baseheading121.38_viewheading211.38_2.jpg,45977,2,0.94939023
89,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\5719_103.84272898945218_1.293641682355532_202406_baseheading301.16_viewheading31.16_2.jpg,5719,2,0.9492102
90,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\50726_103.85268588076245_1.2996031867928255_202406_baseheading308.96_viewheading38.96_2.jpg,50726,2,0.9491747
91,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\133306_103.88610567515853_1.3349166887243582_202406_baseheading264.25_viewheading174.25_4.jpg,133306,4,0.94915485
92,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\143828_103.84973308257108_1.2853512478002536_202406_baseheading301.80_viewheading211.80_4.jpg,143828,4,0.9491133
93,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\67190_103.84673078979452_1.275344160256483_202406_baseheading308.24_viewheading38.24_2.jpg,67190,2,0.94908065
94,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\24812_103.85311864701708_1.2951211261809707_202406_baseheading128.33_viewheading218.33_2.jpg,24812,2,0.94905454
95,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\20224_103.85405980672277_1.3190413940065076_202406_baseheading315.76_viewheading45.76_2.jpg,20224,2,0.9490413
96,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\56601_103.83709048018983_1.2889159926434361_202402_baseheading316.49_viewheading226.49_4.jpg,56601,4,0.9490071
97,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\102108_103.8601255275577_1.3051131678542705_202406_baseheading328.41_viewheading238.41_4.jpg,102108,4,0.94891614
98,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\61990_103.85434777514784_1.3135954161528418_202406_baseheading154.93_viewheading244.93_2.jpg,61990,2,0.9488724
99,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\107018_103.8892854813566_1.3163246379585638_202406_baseheading79.81_viewheading349.81_4.jpg,107018,4,0.94884604
100,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\123471_103.8852321073393_1.332860327804644_202403_baseheading158.93_viewheading68.93_4.jpg,123471,4,0.9488353
