rank,path,pid,viewheading,probe_score,shophouse_score
60,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\79167_103.85464766447365_1.3090704859910933_202403_baseheading302.35_viewheading302.35_1.jpg,79167,302.35,0.9821,0.9995404481887817
61,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\165964_103.90249559635818_1.3097944975525053_202406_baseheading143.25_viewheading323.25_3.jpg,165964,323.25,0.9824,0.9995331764221191
62,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\163303_103.84696687399628_1.2843638626731462_202110_baseheading304.64_viewheading304.64_1.jpg,163303,304.64,0.9857,0.9995166063308716
63,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\139618_103.84307467860769_1.2779948181936385_202402_baseheading207.07_viewheading117.07_4.jpg,139618,117.07,0.9795,0.9994733929634094
64,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\159283_103.8547003674379_1.3056914224676341_202406_baseheading125.03_viewheading125.03_1.jpg,159283,125.03,0.9782,0.9994667172431946
65,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\144678_103.84186294940442_1.2790167738268847_202406_baseheading221.05_viewheading131.05_4.jpg,144678,131.05,0.9758,0.9994620680809021
66,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\162724_103.84598668523812_1.2822272449562049_202406_baseheading34.02_viewheading304.02_4.jpg,162724,304.02,0.9806,0.9994568228721619
67,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\162724_103.84598668523812_1.2822272449562049_202406_baseheading34.02_viewheading124.02_2.jpg,162724,124.02,0.9819,0.9994315505027771
68,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\141492_103.90478402799712_1.305852608072769_202407_baseheading57.76_viewheading327.76_4.jpg,141492,327.76,0.9854,0.9994170665740967
69,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\164955_103.84810330499438_1.326003537055925_202406_baseheading295.91_viewheading295.91_1.jpg,164955,295.91,0.9814,0.9994004964828491
70,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\93326_103.84168590062639_1.2807377325760334_202406_baseheading198.29_viewheading288.29_2.jpg,93326,288.29,0.9822,0.9993836879730225
71,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\143305_103.84957446433984_1.2857328029006236_202403_baseheading149.97_viewheading329.97_3.jpg,143305,329.97,0.9769,0.9993778467178345
72,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\5493_103.84711192257345_1.2824530166711292_202406_baseheading143.90_viewheading143.90_1.jpg,5493,143.9,0.9886,0.99937504529953
73,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\137338_103.83702350610189_1.2769593041938883_202402_baseheading174.81_viewheading174.81_1.jpg,137338,174.81,0.9834,0.9993700385093689
74,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\139620_103.84323558131634_1.278317248395942_202402_baseheading207.33_viewheading297.33_2.jpg,139620,297.33,0.9857,0.9993672966957092
75,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\162778_103.84501944726668_1.2818234102574764_202406_baseheading210.78_viewheading300.78_2.jpg,162778,300.78,0.9782,0.9993605017662048
76,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\4040_103.8478301250927_1.2821837786655_202406_baseheading29.74_viewheading299.74_4.jpg,4040,299.74,0.9891,0.9993574023246765
77,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\91977_103.87766385058332_1.3127308922489167_202404_baseheading345.61_viewheading165.61_3.jpg,91977,165.61,0.979,0.9993574023246765
78,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\95248_103.85980504478191_1.3110912814071634_202406_baseheading34.32_viewheading304.32_4.jpg,95248,304.32,0.981,0.9993537068367004
79,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\137339_103.83703781996536_1.2767797063180477_202402_baseheading175.20_viewheading85.20_4.jpg,137339,85.2,0.9785,0.9993453621864319
80,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\144078_103.84928588299738_1.2861898443239674_202403_baseheading146.40_viewheading146.40_1.jpg,144078,146.4,0.9873,0.9993402361869812
81,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\30834_103.84927766746796_1.2862029538160404_202403_baseheading146.40_viewheading146.40_1.jpg,30834,146.4,0.9873,0.9993402361869812
82,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\30835_103.84928588299738_1.2861898443239674_202403_baseheading146.40_viewheading146.40_1.jpg,30835,146.4,0.9873,0.9993402361869812
83,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\143302_103.84928588299738_1.2861898443239674_202403_baseheading146.40_viewheading146.40_1.jpg,143302,146.4,0.9873,0.9993402361869812
84,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\24054_103.90234748515735_1.309472209489624_202406_baseheading323.93_viewheading323.93_1.jpg,24054,323.93,0.9833,0.9993366599082947
85,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\139624_103.84333303469745_1.2790126749271957_202402_baseheading175.40_viewheading355.40_3.jpg,139624,355.4,0.9815,0.9993341565132141
86,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\160792_103.84753699027505_1.28058187320288_202406_baseheading204.93_viewheading294.93_2.jpg,160792,294.93,0.9831,0.9992964267730713
87,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\32155_103.84323744302142_1.2794045059109076_202406_baseheading65.86_viewheading335.86_4.jpg,32155,335.86,0.9823,0.9992932081222534
88,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\159285_103.85499660943347_1.305486240250172_202406_baseheading123.69_viewheading123.69_1.jpg,159285,123.69,0.9806,0.9992913007736206
89,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\132743_103.84329025668893_1.279677671927474_202406_baseheading163.81_viewheading343.81_3.jpg,132743,343.81,0.9879,0.9992905855178833
90,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\163364_103.8468319194601_1.2826470412851774_202406_baseheading68.99_viewheading158.99_2.jpg,163364,158.99,0.9836,0.9992838501930237
91,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\72173_103.83056374440453_1.2823930196273872_202406_baseheading320.29_viewheading320.29_1.jpg,72173,320.29,0.9758,0.9992241859436035
92,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\137699_103.90217230292741_1.3102198047426818_202008_baseheading54.70_viewheading324.70_4.jpg,137699,324.7,0.9792,0.9992192983627319
93,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\11193_103.90225312768361_1.3100631401459621_202008_baseheading54.70_viewheading324.70_4.jpg,11193,324.7,0.9796,0.9992187023162842
94,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\165963_103.90239151922809_1.3099415783360855_202008_baseheading54.70_viewheading324.70_4.jpg,165963,324.7,0.9792,0.9992183446884155
95,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\137700_103.90227483100338_1.3100792903712812_202008_baseheading54.70_viewheading324.70_4.jpg,137700,324.7,0.9792,0.9992183446884155
96,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\165962_103.90228743159702_1.3100886519992239_202008_baseheading54.70_viewheading324.70_4.jpg,165962,324.7,0.9792,0.9992170333862305
97,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\91976_103.87761101441687_1.3129031514630238_202404_baseheading343.46_viewheading343.46_1.jpg,91976,343.46,0.9763,0.9992167949676514
98,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\29456_103.85679812931242_1.3094331067717833_202406_baseheading316.45_viewheading136.45_3.jpg,29456,136.45,0.978,0.9992130994796753
99,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\33271_103.85697974585064_1.3096706612289415_202406_baseheading316.45_viewheading136.45_3.jpg,33271,136.45,0.978,0.9992130994796753
100,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\163300_103.84743394521745_1.2840917807914967_202110_baseheading301.48_viewheading301.48_1.jpg,163300,301.48,0.9835,0.9992086291313171
101,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\160897_103.84684555826475_1.2804799825034716_202406_baseheading18.16_viewheading108.16_2.jpg,160897,108.16,0.9779,0.999206006526947
102,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\17797_103.84422740414495_1.277320353834949_202403_baseheading12.07_viewheading282.07_4.jpg,17797,282.07,0.9817,0.9992044568061829
103,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\27389_103.84377551096607_1.283721660110581_202110_baseheading117.89_viewheading117.89_1.jpg,27389,117.89,0.9746,0.9991979002952576
104,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\29458_103.85705375099846_1.3091791045218988_202406_baseheading313.45_viewheading133.45_3.jpg,29458,133.45,0.9857,0.9991922974586487
105,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\74544_103.85863109606284_1.3032090957697207_202406_baseheading332.64_viewheading332.64_1.jpg,74544,332.64,0.9816,0.9991825222969055
106,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\159292_103.85512144199554_1.3085834823837648_202406_baseheading44.83_viewheading314.83_4.jpg,159292,314.83,0.9766,0.9991810917854309
107,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\150474_103.8561763315059_1.308393071522904_202403_baseheading303.09_viewheading123.09_3.jpg,150474,123.09,0.983,0.9991737008094788
108,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\29628_103.85844657887405_1.3027618075258387_202406_baseheading144.62_viewheading324.62_3.jpg,29628,324.62,0.9786,0.9991714954376221
109,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\46520_103.860469202093_1.3128406608864929_202406_baseheading223.05_viewheading313.05_2.jpg,46520,313.05,0.9864,0.9991490840911865
110,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\138938_103.90555860586694_1.305965820618457_202407_baseheading236.95_viewheading326.95_2.jpg,138938,326.95,0.9791,0.9991315007209778
111,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\32153_103.8429301480098_1.2792162790128596_202406_baseheading58.07_viewheading328.07_4.jpg,32153,328.07,0.9832,0.9991305470466614
112,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\162773_103.84435960790903_1.2821983459409294_202110_baseheading301.17_viewheading211.17_4.jpg,162773,211.17,0.9787,0.9991230368614197
113,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\159060_103.85416164718623_1.3058454175390914_202403_baseheading23.66_viewheading293.66_4.jpg,159060,293.66,0.9764,0.9991162419319153
114,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\22220_103.84442121449402_1.284005061293153_202406_baseheading299.15_viewheading299.15_1.jpg,22220,299.15,0.9901,0.9991126656532288
115,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\24127_103.85899768268723_1.3008769086652852_200910_baseheading145.06_viewheading55.06_4.jpg,24127,55.06,0.9869,0.9991052746772766
116,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\75467_103.89875966460897_1.3145005304280666_202301_baseheading143.39_viewheading143.39_1.jpg,75467,143.39,0.9773,0.999103307723999
117,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\143148_103.84311662754648_1.2799896764119278_202406_baseheading222.20_viewheading312.20_2.jpg,143148,312.2,0.9896,0.9990959167480469
118,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\132741_103.84311662754648_1.2799896764119278_202406_baseheading222.20_viewheading312.20_2.jpg,132741,312.2,0.9896,0.9990959167480469
119,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\122791_103.84311662754648_1.2799896764119278_202406_baseheading222.20_viewheading312.20_2.jpg,122791,312.2,0.9896,0.9990959167480469
120,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\41946_103.85984730803663_1.304263794419416_202406_baseheading327.50_viewheading327.50_1.jpg,41946,327.5,0.9838,0.9990454316139221
121,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\27390_103.84362049277716_1.2838134955899478_202110_baseheading127.28_viewheading127.28_1.jpg,27390,127.28,0.9749,0.9990100860595703
122,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\40259_103.85959373387006_1.3034419239595014_202406_baseheading232.92_viewheading322.92_2.jpg,40259,322.92,0.9872,0.9989874958992004
123,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\16896_103.86133614067178_1.3021947547690025_202406_baseheading60.53_viewheading330.53_4.jpg,16896,330.53,0.976,0.9989762306213379
124,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\85619_103.85728448656424_1.3080686126060672_202406_baseheading306.98_viewheading126.98_3.jpg,85619,126.98,0.9785,0.9989651441574097
125,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\22213_103.84551992159663_1.2833857030887226_202406_baseheading298.30_viewheading118.30_3.jpg,22213,118.3,0.9898,0.9989645481109619
126,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\111571_103.84844263811881_1.2809062271740046_202406_baseheading35.84_viewheading305.84_4.jpg,111571,305.84,0.9919,0.998938262462616
127,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\159212_103.85077574481895_1.307401886863936_201807_baseheading131.60_viewheading41.60_4.jpg,159212,41.6,0.9756,0.9989292025566101
128,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\144559_103.90493091446666_1.3064560894339288_202407_baseheading323.77_viewheading323.77_1.jpg,144559,323.77,0.9773,0.9989097118377686
129,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\22218_103.84473428274794_1.283826601612239_202406_baseheading299.86_viewheading299.86_1.jpg,22218,299.86,0.9891,0.9988980293273926
130,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\165656_103.84544375501939_1.2814926282016945_202406_baseheading283.70_viewheading283.70_1.jpg,165656,283.7,0.9819,0.9988930821418762
131,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\139342_103.90703097413034_1.307347935564245_202406_baseheading56.83_viewheading146.83_2.jpg,139342,146.83,0.983,0.998892605304718
132,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\85620_103.85741983292048_1.3079496831024378_202406_baseheading307.43_viewheading127.43_3.jpg,85620,127.43,0.9769,0.9988731741905212
133,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\58777_103.84184828575835_1.2803481061111093_202406_baseheading148.97_viewheading148.97_1.jpg,58777,148.97,0.9747,0.9988715052604675
134,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\27477_103.84206597685504_1.2805370805624376_202406_baseheading148.97_viewheading148.97_1.jpg,27477,148.97,0.9747,0.9988715052604675
135,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\70199_103.86077740905903_1.3018062761664182_202406_baseheading56.69_viewheading326.69_4.jpg,70199,326.69,0.9889,0.9988430738449097
136,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\60711_103.84359202887715_1.2831926445077462_202402_baseheading121.96_viewheading121.96_1.jpg,60711,121.96,0.9866,0.9988377690315247
137,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\41947_103.8599389230173_1.3041086568110594_202406_baseheading328.40_viewheading328.40_1.jpg,41947,328.4,0.9852,0.9988297820091248
138,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\102133_103.85348204836299_1.3050664266459215_202403_baseheading303.35_viewheading303.35_1.jpg,102133,303.35,0.9762,0.9988206028938293
139,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\72649_103.84829135996307_1.2819250077834596_202406_baseheading211.80_viewheading301.80_2.jpg,72649,301.8,0.9836,0.998809814453125
140,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\160895_103.84699918774491_1.280805438733451_202406_baseheading27.67_viewheading297.67_4.jpg,160895,297.67,0.9829,0.9988049268722534
