rank,path,pid,region_tier,sim_nocol
61,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\100025_103.83243630093185_1.3061589063247088_202403_baseheading25.09_viewheading115.09_2.jpg,100025,3,0.9389221
62,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\139764_103.86717181695703_1.327816841915787_202406_baseheading309.75_viewheading219.75_4.jpg,139764,1,0.93867093
63,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\100018_103.83132277257046_1.3067512192127484_202406_baseheading113.49_viewheading23.49_4.jpg,100018,1,0.93855596
64,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\38139_103.85473587125617_1.314374118693352_202402_baseheading326.20_viewheading56.20_2.jpg,38139,3,0.9385306
65,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\161102_103.85739705736843_1.3121123741773737_202301_baseheading217.18_viewheading217.18_1.jpg,161102,1,0.9384518
66,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\122754_103.82365723093177_1.4414940987646465_202408_baseheading246.96_viewheading156.96_4.jpg,122754,1,0.93836755
67,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\162983_103.85804072768734_1.3096253691081878_202406_baseheading214.32_viewheading214.32_1.jpg,162983,1,0.93834734
68,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\129003_103.83679789855246_1.2998341237659221_202406_baseheading282.79_viewheading192.79_4.jpg,129003,3,0.93831015
69,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\162981_103.85824596445316_1.3099215742048176_202406_baseheading216.22_viewheading216.22_1.jpg,162981,1,0.93828267
70,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\6726_103.85379209660775_1.29615904037624_202406_baseheading217.30_viewheading37.30_3.jpg,6726,1,0.9382271
71,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\135907_103.90229492239362_1.3044554786621698_202407_baseheading136.83_viewheading46.83_4.jpg,135907,3,0.93772286
72,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\54655_103.8585110619177_1.3019363850894647_202406_baseheading213.23_viewheading123.23_4.jpg,54655,1,0.93748444
73,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\4358_103.84461628370249_1.3210291389271265_202406_baseheading315.61_viewheading45.61_2.jpg,4358,1,0.9374284
74,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\124526_103.86059166535549_1.3129728261113882_202406_baseheading224.63_viewheading224.63_1.jpg,124526,1,0.93742585
75,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\165497_103.84141708567661_1.3012644866982945_202406_baseheading195.05_viewheading15.05_3.jpg,165497,1,0.9372909
76,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\165498_103.84139194009437_1.3012726550941416_202406_baseheading195.05_viewheading15.05_3.jpg,165498,1,0.9372909
77,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\94836_103.8537731120508_1.3149691707063644_202406_baseheading20.03_viewheading110.03_2.jpg,94836,1,0.93720895
78,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\152551_103.87514949431721_1.328259811266995_202406_baseheading306.73_viewheading36.73_2.jpg,152551,3,0.93714046
79,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\117211_103.85519874404613_1.2956448636988105_202406_baseheading123.56_viewheading213.56_2.jpg,117211,1,0.9370756
80,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\14114_103.85326878605557_1.3109643587258573_202402_baseheading311.36_viewheading41.36_2.jpg,14114,1,0.9370679
81,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\42315_103.90448855793755_1.3927484443682605_202503_baseheading304.92_viewheading34.92_2.jpg,42315,3,0.93701553
82,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\8752_103.88721493369017_1.337602940765894_202406_baseheading334.23_viewheading244.23_4.jpg,8752,3,0.9369483
83,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\56498_103.85747936658602_1.315537304613236_202406_baseheading221.38_viewheading41.38_3.jpg,56498,1,0.93691856
84,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\129609_103.8558637815527_1.2959533486478205_202403_baseheading344.83_viewheading254.83_4.jpg,129609,1,0.9368306
85,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\8356_103.85419813273332_1.3140287065751806_202406_baseheading157.23_viewheading247.23_2.jpg,8356,1,0.9367836
86,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\104690_103.85481384374637_1.296782794821442_202403_baseheading308.46_viewheading38.46_2.jpg,104690,1,0.93678284
87,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\87358_103.85838374534254_1.3079671754211288_202406_baseheading126.73_viewheading216.73_2.jpg,87358,1,0.9366899
88,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\100246_103.85218721262852_1.299548499263018_202406_baseheading220.73_viewheading40.73_3.jpg,100246,1,0.9366471
89,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\158908_103.8521072147536_1.3039830651622615_202403_baseheading283.22_viewheading13.22_2.jpg,158908,3,0.93646765
90,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\25393_103.84826223745056_1.2900697874135474_202203_baseheading285.39_viewheading195.39_4.jpg,25393,3,0.93623114
91,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\117219_103.85414266408739_1.2964864437568133_202406_baseheading216.05_viewheading36.05_3.jpg,117219,1,0.9362305
92,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\22232_103.88354020934739_1.315263661526587_202406_baseheading28.87_viewheading28.87_1.jpg,22232,1,0.9361653
93,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\23597_103.88341133954214_1.315373010984751_202406_baseheading28.87_viewheading28.87_1.jpg,23597,1,0.9361653
94,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\57296_103.86922832433035_1.3314164163412017_202406_baseheading194.43_viewheading194.43_1.jpg,57296,1,0.93613553
95,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\134897_103.8292521261937_1.2952136149158953_202406_baseheading285.59_viewheading15.59_2.jpg,134897,1,0.9361146
96,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\161707_103.8292521261937_1.2952136149158953_202406_baseheading285.59_viewheading15.59_2.jpg,161707,1,0.9361146
97,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\117294_103.88309437037773_1.313323674378246_202404_baseheading201.69_viewheading201.69_1.jpg,117294,1,0.9360776
98,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\22558_103.85354788569299_1.2947926322602563_202406_baseheading128.80_viewheading218.80_2.jpg,22558,3,0.93596935
99,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\162052_103.83055843558913_1.2957022343507116_202406_baseheading249.22_viewheading69.22_3.jpg,162052,1,0.93578345
100,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\44223_103.85964976604065_1.315202718155845_202301_baseheading218.33_viewheading218.33_1.jpg,44223,1,0.9357271
