cell_id,label,note,path,clip_p_arcade,clip_sg,near_frac
20,1,HDB covered linkway partial,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\152561_103.87630946818223_1.32740438272271_202404_baseheading126.41_viewheading36.41_4.jpg,0.20819087,0.92765355,0.28948903258526687
21,1,red banner shophouse covered,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\8126_103.85343448427055_1.3072535628080137_201807_baseheading281.63_viewheading11.63_2.jpg,0.19520454,0.9701868,0.3773171040953468
22,0,open road trees,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\81571_103.84694001655465_1.3138646564302792_202402_baseheading315.39_viewheading225.39_4.jpg,0.18496642,0.91325855,0.25223152022315204
23,0,HDB open base,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\17437_103.8654409151852_1.3209165154494544_202406_baseheading213.53_viewheading303.53_2.jpg,0.17742752,0.99243283,0.19128312412831242
24,0,open field barrier,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\127516_103.86861958502061_1.2963184307078166_202406_baseheading227.44_viewheading137.44_4.jpg,0.16749588,0.98161584,0.25360403195131226
25,0,open road trees,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\49548_103.86139223198562_1.3193524517975306_202406_baseheading38.31_viewheading308.31_4.jpg,0.15869468,0.9255087,0.2836629897299353
26,0,open road car,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\159676_103.85314845897092_1.3022921940838457_202403_baseheading219.73_viewheading129.73_4.jpg,0.15133938,0.5592014,0.4162704450361354
27,0,open road HDB,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\61251_103.84732740070378_1.2974870135479393_202406_baseheading276.06_viewheading6.06_2.jpg,0.14641304,0.79177094,0.27082223912767844
28,0,open road glass building,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\153278_103.86553782407614_1.3144528434831493_202406_baseheading307.93_viewheading217.93_4.jpg,0.13544814,0.32902685,0.2186446050462787
29,0,open house greenery,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\65840_103.85568551947553_1.327853130252729_202402_baseheading210.30_viewheading300.30_2.jpg,0.13206397,0.86801517,0.09373018891847344
30,0,open road residential,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\154842_103.8758230725172_1.3126089944886477_202406_baseheading162.82_viewheading252.82_2.jpg,0.1242404,0.6460572,0.3168885507797642
31,0,open corner tiled roof,D:\Claude\SVI_FFW\SVI\Singapore\Singapore SVI\149144_103.85671480965539_1.3278409279769614_202406_baseheading280.36_viewheading10.36_2.jpg,0.1201149,0.9779692,0.450304298212248
